n_confs,amp,std
0.0,0.0,0.0
8.0,2.1412113710719104e-14,3.7140283063819673e-17
81.0,1.0038707801523197e-13,1.936194308105536e-16
367.0,2.417786283746518e-13,4.955757413491878e-16
1125.0,4.264273085788129e-13,9.36467061327977e-16
2853.0,6.388188504956105e-13,1.514128142267991e-15
6252.0,8.65275324082005e-13,2.206964003782222e-15
12494.0,1.0940291094004194e-12,3.001536097400752e-15
23058.0,1.3207509412947625e-12,3.8809310589942106e-15
40222.0,1.5404086744001458e-12,4.822508424310754e-15
66675.0,1.7528036990881282e-12,5.817959136570478e-15
106341.0,1.956004021696721e-12,6.863574180176334e-15
163647.0,2.149010386090664e-12,7.945957953722993e-15
244811.0,2.3297549881712513e-12,9.032592172825571e-15
356622.0,2.501250251336535e-12,1.0153092313386378e-14
508348.0,2.6623327601162085e-12,1.1294340314552735e-14
709860.0,2.8133493620253885e-12,1.2416972890014578e-14
974340.0,2.9559711716823388e-12,1.3561329841535275e-14
1.315557e6,3.0892655746851617e-12,1.4680015789034307e-14
1.751579e6,3.21511767825403e-12,1.5803499185888355e-14
2.300985e6,3.3333816607206632e-12,1.6908842127362474e-14
