Dl = 0,Dl = 1,Dl = 2,Dl = 3
2.132990120461559e-14,4.436395778422081e-14,5.451333687001504e-14,5.821296640942322e-14
1.069871439494627e-13,2.461582139043518e-13,3.2953330090089435e-13,3.6709546166846834e-13
2.6545501777367935e-13,6.668087061478617e-13,9.561966834917229e-13,1.1255200572755348e-12
4.639047958509407e-13,1.2318013559220092e-12,1.8725568204291405e-12,2.3078044097985934e-12
6.904750630400886e-13,1.92659541535341e-12,3.087569151580439e-12,3.9039468107197594e-12
9.373831490285014e-13,2.7146837298230507e-12,4.5096068129029165e-12,5.847746585949684e-12
1.1886244522545621e-12,3.551440135395757e-12,6.106950137635824e-12,8.103073624427493e-12
1.4404826574788655e-12,4.406367561536685e-12,7.794298903333166e-12,1.0633585785849387e-11
1.6964479000418398e-12,5.28382245750214e-12,9.569692659659936e-12,1.3376067964160423e-11
1.939762588681158e-12,6.151342342222254e-12,1.1379391533999047e-11,1.6162963687440358e-11
